X,Y,item,device_id,device_id1,Desc_,UpdateDate,UpdateTime,link,Route,ImageName,VideoURL,ORG,latitude,longitude,Type,FID,VideoURL_HB,VideoURL_HD,REGION,RECORDED,COMMON_ID,FUNCTION,Column1
-10193515.09,5149737.356,,59527642,,CR - US 30 @ E of Jappa Rd (33),20251113,4512,,US 30,CR - US 30 @ E of Jappa Rd (33),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv33lb/playlist.m3u8,IADOT,41.924906,-91.569904,Iowa DOT,246853,,,Cedar Rapids,Y,CRTV33,General,
-10201504.26,5123983.21,,59527652,,6DT - I-380 @ W Penn Street (IWZ 3141),20251113,4512,,I-380,6DT - I-380 @ W Penn Street (IWZ 3141),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/iwz3141lb/playlist.m3u8,IADOT,41.752542,-91.641672,Iowa DOT,246865,,,IWZ,Y,IWZ3141,IWZ,
-10196737.45,5163313.838,,59527665,,CR - IA 100 @ East Post Rd (45),20251113,4512,,IA 100,CR - IA 100 @ East Post Rd (45),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv45lb/playlist.m3u8,IADOT,42.015582,-91.598851,Iowa DOT,246893,,,Cedar Rapids,Y,CRTV45,General,
-10179611.5,5111964.217,,59527671,,IC - I-80 @ Herbert Hoover Hwy (19Q),20251113,4512,,I-80,IC - I-80 @ Herbert Hoover Hwy (19Q),https://iowadotsfs2.us-east-1.skyvdn.com:443/rtplive/ictv19qlb/playlist.m3u8,IADOT,41.671944,-91.445006,Iowa DOT,246896,,,Iowa City,Y,ICTV19Q,General,
-10205352.8,5166215.024,,59527673,,CR - I-380 @ Blairs Ferry Rd NE (18),20251113,4512,,I-380,CR - I-380 @ Blairs Ferry Rd NE (18),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv18lb/playlist.m3u8,IADOT,42.034942,-91.676244,Iowa DOT,246897,,,Cedar Rapids,Y,CRTV18,General,
-10179610.95,5111964.217,,59527676,,IC - I-80 @ Herbert Hoover Hwy (19),20251113,4512,,I-80,IC - I-80 @ Herbert Hoover Hwy (19),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv19lb/playlist.m3u8,IADOT,41.671944,-91.445001,Iowa DOT,246900,,,Iowa City,Y,ICTV19,General,
-10199215.2,5164814.222,,59527679,,CR - Collins Rd @ 1st Ave E (42),20251113,4512,,Collins Rd,CR - Collins Rd @ 1st Ave E (42),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv42lb/playlist.m3u8,IADOT,42.025595,-91.621109,Iowa DOT,246901,,,Cedar Rapids,Y,CRTV42,General,
-10192998.56,5113934.587,,59527687,,IC - I-80 @ 1st Ave (06),20251113,4512,,I-80,IC - I-80 @ 1st Ave (06),https://iowadotsfs2.us-east-1.skyvdn.com:443/rtplive/ictv06lb/playlist.m3u8,IADOT,41.685164,-91.565264,Iowa DOT,246910,,,Iowa City,Y,ICTV06,General,
-10242347.94,5114251.791,,59527694,,I-80 @ MM 220,20251113,4512,,I-80,I-80 @ MM 220,https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/80tv220lb/playlist.m3u8,IADOT,41.687292,-92.008577,Iowa DOT,246914,,,I-80,Y,80TV220,General,
-10209764.5,5151761.313,,59527702,,CR - US 30 @ Edgewood Rd SW (25),20251113,4512,,US 30,CR - US 30 @ Edgewood Rd SW (25),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv25lb/playlist.m3u8,IADOT,41.938432,-91.715875,Iowa DOT,246925,,,Cedar Rapids,Y,CRTV25,General,
-10268239.63,5115576.771,,59527697,,I-80 @ MM 208,20251113,4512,,I-80,I-80 @ MM 208,https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/80TV208lb/playlist.m3u8,IADOT,41.69618,-92.241166,Iowa DOT,246947,,,I-80,Y,80TV208,General,
-10204565.33,5141239.205,,59527698,,CR - I-380 @ Rest Area (01),20251113,4512,,I-380,CR - I-380 @ Rest Area (01),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv01lb/playlist.m3u8,IADOT,41.868082,-91.66917,Iowa DOT,246948,,,Cedar Rapids,Y,CRTV01,General,
-10168701.75,5110745.235,,59527718,,IC - I-80 @ S Downey Dr (21),20251113,4512,,I-80,IC - I-80 @ S Downey Dr (21),https://iowadotsfs2.us-east-1.skyvdn.com:443/rtplive/ictv21lb/playlist.m3u8,IADOT,41.663764,-91.347002,Iowa DOT,246971,,,Iowa City,Y,ICTV21,General,
-10204660.84,5150515.854,,59527722,,CR - I-380 @ US 30 North (05),20251113,4512,,I-380,CR - I-380 @ US 30 North (05),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv05lb/playlist.m3u8,IADOT,41.930109,-91.670028,Iowa DOT,246981,,,Cedar Rapids,Y,CRTV05,General,
-10204651.38,5144628.047,,59526938,,6DX - I-380 @ Wright Brothers Blvd (IWZ 3701),20251112,120438,,I-380,6DX - I-380 @ Wright Brothers Blvd (IWZ 3701),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/iwz3701lb/playlist.m3u8,IADOT,41.890748,-91.669943,Iowa DOT,246997,,,IWZ,Y,IWZ3701,IWZ,
-10107093.53,5135470.351,,59526942,,6EM - US 30 @  MM 299.5 (IWZ 3359),20251112,120438,,US 30,6EM - US 30 @MM 299.5 (IWZ 3359),https://iowadotsfs2.us-east-1.skyvdn.com:443/rtplive/iwz3359lb/playlist.m3u8,IADOT,41.829479,-90.793566,Iowa DOT,247001,,,IWZ,Y,IWZ3359,IWZ,
